server,source,monthlyInstalls,tool,probe,status,code,claim,trace
@modelcontextprotocol/server-filesystem,npm:@modelcontextprotocol/server-filesystem,2334928,create_directory,concurrency,pass,concurrent-matches-sequential,4 overlapping calls left the same shape of state as the same 4 calls run one at a time.,runs/census-conc/filesystem-dt-census-1.dt.jsonl
@modelcontextprotocol/server-filesystem,npm:@modelcontextprotocol/server-filesystem,2334928,directory_tree,concurrency,skip,read-only-confirmed,"The tool declares readOnlyHint, so overlapping calls have nothing to corrupt.",runs/census-conc/filesystem-dt-census-1.dt.jsonl
@modelcontextprotocol/server-filesystem,npm:@modelcontextprotocol/server-filesystem,2334928,edit_file,concurrency,pass,concurrent-matches-sequential,4 overlapping calls left the same shape of state as the same 4 calls run one at a time.,runs/census-conc/filesystem-dt-census-1.dt.jsonl
@modelcontextprotocol/server-filesystem,npm:@modelcontextprotocol/server-filesystem,2334928,get_file_info,concurrency,skip,read-only-confirmed,"The tool declares readOnlyHint, so overlapping calls have nothing to corrupt.",runs/census-conc/filesystem-dt-census-1.dt.jsonl
@modelcontextprotocol/server-filesystem,npm:@modelcontextprotocol/server-filesystem,2334928,list_allowed_directories,concurrency,skip,read-only-confirmed,"The tool declares readOnlyHint, so overlapping calls have nothing to corrupt.",runs/census-conc/filesystem-dt-census-1.dt.jsonl
@modelcontextprotocol/server-filesystem,npm:@modelcontextprotocol/server-filesystem,2334928,list_directory,concurrency,skip,read-only-confirmed,"The tool declares readOnlyHint, so overlapping calls have nothing to corrupt.",runs/census-conc/filesystem-dt-census-1.dt.jsonl
@modelcontextprotocol/server-memory,npm:@modelcontextprotocol/server-memory,364588,add_observations,concurrency,skip,call-failed,"No call succeeded even one at a time, so there is no correct behaviour to compare against.",runs/census-conc/memory-dt-census-1.dt.jsonl
@modelcontextprotocol/server-memory,npm:@modelcontextprotocol/server-memory,364588,create_entities,concurrency,pass,concurrent-matches-sequential,4 overlapping calls left the same shape of state as the same 4 calls run one at a time.,runs/census-conc/memory-dt-census-1.dt.jsonl
@modelcontextprotocol/server-memory,npm:@modelcontextprotocol/server-memory,364588,create_relations,concurrency,pass,concurrent-matches-sequential,4 overlapping calls left the same shape of state as the same 4 calls run one at a time.,runs/census-conc/memory-dt-census-1.dt.jsonl
@modelcontextprotocol/server-memory,npm:@modelcontextprotocol/server-memory,364588,delete_entities,concurrency,skip,no-observable-effect,"Calls succeed but leave nothing this oracle can see, so overlapping them cannot be judged.",runs/census-conc/memory-dt-census-1.dt.jsonl
@modelcontextprotocol/server-memory,npm:@modelcontextprotocol/server-memory,364588,delete_observations,concurrency,skip,no-observable-effect,"Calls succeed but leave nothing this oracle can see, so overlapping them cannot be judged.",runs/census-conc/memory-dt-census-1.dt.jsonl
@modelcontextprotocol/server-memory,npm:@modelcontextprotocol/server-memory,364588,delete_relations,concurrency,skip,no-observable-effect,"Calls succeed but leave nothing this oracle can see, so overlapping them cannot be judged.",runs/census-conc/memory-dt-census-1.dt.jsonl
@modelcontextprotocol/server-everything,npm:@modelcontextprotocol/server-everything,800463,echo,concurrency,skip,read-only-confirmed,"The tool declares readOnlyHint, so overlapping calls have nothing to corrupt.",runs/census-conc/everything-dt-census-1.dt.jsonl
@modelcontextprotocol/server-everything,npm:@modelcontextprotocol/server-everything,800463,get-annotated-message,concurrency,skip,read-only-confirmed,"The tool declares readOnlyHint, so overlapping calls have nothing to corrupt.",runs/census-conc/everything-dt-census-1.dt.jsonl
@modelcontextprotocol/server-everything,npm:@modelcontextprotocol/server-everything,800463,get-env,concurrency,skip,read-only-confirmed,"The tool declares readOnlyHint, so overlapping calls have nothing to corrupt.",runs/census-conc/everything-dt-census-1.dt.jsonl
@modelcontextprotocol/server-everything,npm:@modelcontextprotocol/server-everything,800463,get-resource-links,concurrency,skip,read-only-confirmed,"The tool declares readOnlyHint, so overlapping calls have nothing to corrupt.",runs/census-conc/everything-dt-census-1.dt.jsonl
@modelcontextprotocol/server-everything,npm:@modelcontextprotocol/server-everything,800463,get-resource-reference,concurrency,skip,read-only-confirmed,"The tool declares readOnlyHint, so overlapping calls have nothing to corrupt.",runs/census-conc/everything-dt-census-1.dt.jsonl
@modelcontextprotocol/server-everything,npm:@modelcontextprotocol/server-everything,800463,get-roots-list,concurrency,skip,read-only-confirmed,"The tool declares readOnlyHint, so overlapping calls have nothing to corrupt.",runs/census-conc/everything-dt-census-1.dt.jsonl
@upstash/context7-mcp,npm:@upstash/context7-mcp@4.0.4,3992771,query-docs,concurrency,skip,read-only-confirmed,"The tool declares readOnlyHint, so overlapping calls have nothing to corrupt.",runs/census-conc/upstash-context7-mcp-dt-census-1.dt.jsonl
@upstash/context7-mcp,npm:@upstash/context7-mcp@4.0.4,3992771,resolve-library-id,concurrency,skip,read-only-confirmed,"The tool declares readOnlyHint, so overlapping calls have nothing to corrupt.",runs/census-conc/upstash-context7-mcp-dt-census-1.dt.jsonl
@notionhq/notion-mcp-server,npm:@notionhq/notion-mcp-server@2.5.1,712988,API-create-a-comment,concurrency,pass,concurrent-matches-sequential,4 overlapping calls left the same shape of state as the same 4 calls run one at a time.,runs/census-conc/notionhq-notion-mcp-server-dt-census-1.dt.jsonl
@notionhq/notion-mcp-server,npm:@notionhq/notion-mcp-server@2.5.1,712988,API-create-a-data-source,concurrency,pass,concurrent-matches-sequential,4 overlapping calls left the same shape of state as the same 4 calls run one at a time.,runs/census-conc/notionhq-notion-mcp-server-dt-census-1.dt.jsonl
@notionhq/notion-mcp-server,npm:@notionhq/notion-mcp-server@2.5.1,712988,API-delete-a-block,concurrency,pass,concurrent-matches-sequential,4 overlapping calls left the same shape of state as the same 4 calls run one at a time.,runs/census-conc/notionhq-notion-mcp-server-dt-census-1.dt.jsonl
