server,source,monthlyInstalls,tool,probe,status,code,claim,trace
@modelcontextprotocol/server-filesystem,npm:@modelcontextprotocol/server-filesystem,2334928,create_directory,idempotency,pass,retry-converged,An identical retry left the observable state unchanged.,runs/census-v5/filesystem-dt-census-1.dt.jsonl
@modelcontextprotocol/server-filesystem,npm:@modelcontextprotocol/server-filesystem,2334928,create_directory,partial-failure,pass,retry-converged,"After a lost acknowledgement and a reconnect, an identical retry converged on the same state.",runs/census-v5/filesystem-dt-census-1.dt.jsonl
@modelcontextprotocol/server-filesystem,npm:@modelcontextprotocol/server-filesystem,2334928,create_directory,partial-failure,pass,truncated-frame-ignored,"A request frame cut in half changed nothing, as it must.",runs/census-v5/filesystem-dt-census-1.dt.jsonl
@modelcontextprotocol/server-filesystem,npm:@modelcontextprotocol/server-filesystem,2334928,create_directory,upstream-idempotency,skip,no-upstream-call,"The call sent nothing upstream, so there is no remote side effect to retry.",runs/census-v5/filesystem-dt-census-1.dt.jsonl
@modelcontextprotocol/server-filesystem,npm:@modelcontextprotocol/server-filesystem,2334928,create_directory,concurrency,pass,concurrent-matches-sequential,4 overlapping calls left the same shape of state as the same 4 calls run one at a time.,runs/census-v5/filesystem-dt-census-1.dt.jsonl
@modelcontextprotocol/server-filesystem,npm:@modelcontextprotocol/server-filesystem,2334928,directory_tree,answer-stability,pass,answer-reproducible,Two identical calls returned identical answers.,runs/census-v5/filesystem-dt-census-1.dt.jsonl
@modelcontextprotocol/server-filesystem,npm:@modelcontextprotocol/server-filesystem,2334928,directory_tree,idempotency,pass,read-only-confirmed,Declares readOnlyHint: true and a successful call left the observable state unchanged.,runs/census-v5/filesystem-dt-census-1.dt.jsonl
@modelcontextprotocol/server-filesystem,npm:@modelcontextprotocol/server-filesystem,2334928,directory_tree,partial-failure,skip,read-only-confirmed,"The tool declares readOnlyHint, so there is no effect to leave half done.",runs/census-v5/filesystem-dt-census-1.dt.jsonl
@modelcontextprotocol/server-filesystem,npm:@modelcontextprotocol/server-filesystem,2334928,directory_tree,upstream-idempotency,skip,no-upstream-call,"The call sent nothing upstream, so there is no remote side effect to retry.",runs/census-v5/filesystem-dt-census-1.dt.jsonl
@modelcontextprotocol/server-filesystem,npm:@modelcontextprotocol/server-filesystem,2334928,directory_tree,concurrency,skip,read-only-confirmed,"The tool declares readOnlyHint, so overlapping calls have nothing to corrupt.",runs/census-v5/filesystem-dt-census-1.dt.jsonl
@modelcontextprotocol/server-filesystem,npm:@modelcontextprotocol/server-filesystem,2334928,edit_file,idempotency,pass,retry-converged,An identical retry left the observable state unchanged.,runs/census-v5/filesystem-dt-census-1.dt.jsonl
@modelcontextprotocol/server-filesystem,npm:@modelcontextprotocol/server-filesystem,2334928,edit_file,retry-signal,fail,retry-answer-differs,"The effect was applied once, but the retry reported failure, which tells a retrying client the operation did not happen.",runs/census-v5/filesystem-dt-census-1.dt.jsonl
@modelcontextprotocol/server-filesystem,npm:@modelcontextprotocol/server-filesystem,2334928,edit_file,partial-failure,pass,retry-converged,"After a lost acknowledgement and a reconnect, an identical retry converged on the same state.",runs/census-v5/filesystem-dt-census-1.dt.jsonl
@modelcontextprotocol/server-filesystem,npm:@modelcontextprotocol/server-filesystem,2334928,edit_file,partial-failure,pass,truncated-frame-ignored,"A request frame cut in half changed nothing, as it must.",runs/census-v5/filesystem-dt-census-1.dt.jsonl
@modelcontextprotocol/server-filesystem,npm:@modelcontextprotocol/server-filesystem,2334928,edit_file,upstream-idempotency,skip,no-upstream-call,"The call sent nothing upstream, so there is no remote side effect to retry.",runs/census-v5/filesystem-dt-census-1.dt.jsonl
@modelcontextprotocol/server-filesystem,npm:@modelcontextprotocol/server-filesystem,2334928,edit_file,concurrency,pass,concurrent-matches-sequential,4 overlapping calls left the same shape of state as the same 4 calls run one at a time.,runs/census-v5/filesystem-dt-census-1.dt.jsonl
@modelcontextprotocol/server-filesystem,npm:@modelcontextprotocol/server-filesystem,2334928,get_file_info,answer-stability,pass,answer-reproducible,Two identical calls returned identical answers.,runs/census-v5/filesystem-dt-census-1.dt.jsonl
@modelcontextprotocol/server-filesystem,npm:@modelcontextprotocol/server-filesystem,2334928,get_file_info,idempotency,pass,read-only-confirmed,Declares readOnlyHint: true and a successful call left the observable state unchanged.,runs/census-v5/filesystem-dt-census-1.dt.jsonl
@modelcontextprotocol/server-filesystem,npm:@modelcontextprotocol/server-filesystem,2334928,get_file_info,partial-failure,skip,read-only-confirmed,"The tool declares readOnlyHint, so there is no effect to leave half done.",runs/census-v5/filesystem-dt-census-1.dt.jsonl
@modelcontextprotocol/server-filesystem,npm:@modelcontextprotocol/server-filesystem,2334928,get_file_info,upstream-idempotency,skip,no-upstream-call,"The call sent nothing upstream, so there is no remote side effect to retry.",runs/census-v5/filesystem-dt-census-1.dt.jsonl
@modelcontextprotocol/server-filesystem,npm:@modelcontextprotocol/server-filesystem,2334928,get_file_info,concurrency,skip,read-only-confirmed,"The tool declares readOnlyHint, so overlapping calls have nothing to corrupt.",runs/census-v5/filesystem-dt-census-1.dt.jsonl
@modelcontextprotocol/server-filesystem,npm:@modelcontextprotocol/server-filesystem,2334928,list_allowed_directories,answer-stability,pass,answer-reproducible,Two identical calls returned identical answers.,runs/census-v5/filesystem-dt-census-1.dt.jsonl
@modelcontextprotocol/server-filesystem,npm:@modelcontextprotocol/server-filesystem,2334928,list_allowed_directories,idempotency,pass,read-only-confirmed,Declares readOnlyHint: true and a successful call left the observable state unchanged.,runs/census-v5/filesystem-dt-census-1.dt.jsonl
@modelcontextprotocol/server-filesystem,npm:@modelcontextprotocol/server-filesystem,2334928,list_allowed_directories,partial-failure,skip,read-only-confirmed,"The tool declares readOnlyHint, so there is no effect to leave half done.",runs/census-v5/filesystem-dt-census-1.dt.jsonl
@modelcontextprotocol/server-filesystem,npm:@modelcontextprotocol/server-filesystem,2334928,list_allowed_directories,upstream-idempotency,skip,no-upstream-call,"The call sent nothing upstream, so there is no remote side effect to retry.",runs/census-v5/filesystem-dt-census-1.dt.jsonl
@modelcontextprotocol/server-filesystem,npm:@modelcontextprotocol/server-filesystem,2334928,list_allowed_directories,concurrency,skip,read-only-confirmed,"The tool declares readOnlyHint, so overlapping calls have nothing to corrupt.",runs/census-v5/filesystem-dt-census-1.dt.jsonl
@modelcontextprotocol/server-filesystem,npm:@modelcontextprotocol/server-filesystem,2334928,list_directory,answer-stability,pass,answer-reproducible,Two identical calls returned identical answers.,runs/census-v5/filesystem-dt-census-1.dt.jsonl
@modelcontextprotocol/server-filesystem,npm:@modelcontextprotocol/server-filesystem,2334928,list_directory,idempotency,pass,read-only-confirmed,Declares readOnlyHint: true and a successful call left the observable state unchanged.,runs/census-v5/filesystem-dt-census-1.dt.jsonl
@modelcontextprotocol/server-filesystem,npm:@modelcontextprotocol/server-filesystem,2334928,list_directory,partial-failure,skip,read-only-confirmed,"The tool declares readOnlyHint, so there is no effect to leave half done.",runs/census-v5/filesystem-dt-census-1.dt.jsonl
@modelcontextprotocol/server-filesystem,npm:@modelcontextprotocol/server-filesystem,2334928,list_directory,upstream-idempotency,skip,no-upstream-call,"The call sent nothing upstream, so there is no remote side effect to retry.",runs/census-v5/filesystem-dt-census-1.dt.jsonl
@modelcontextprotocol/server-filesystem,npm:@modelcontextprotocol/server-filesystem,2334928,list_directory,concurrency,skip,read-only-confirmed,"The tool declares readOnlyHint, so overlapping calls have nothing to corrupt.",runs/census-v5/filesystem-dt-census-1.dt.jsonl
